ID,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,sex,year
28,Adelie,Biscoe,40.5,17.9,187.0,female,2007
296,Chinstrap,Dream,49.2,18.2,195.0,male,2007
306,Chinstrap,Dream,52.8,20.0,205.0,male,2008
63,Adelie,Biscoe,37.6,17.0,185.0,female,2008
183,Gentoo,Biscoe,47.3,15.3,222.0,male,2007
16,Adelie,Torgersen,36.6,17.8,185.0,female,2007
234,Gentoo,Biscoe,52.5,15.6,221.0,male,2009
236,Gentoo,Biscoe,50.0,15.9,224.0,male,2009
88,Adelie,Dream,36.9,18.6,189.0,female,2008
160,Gentoo,Biscoe,46.7,15.3,219.0,male,2007
45,Adelie,Dream,37.0,16.9,185.0,female,2007
322,Chinstrap,Dream,50.8,18.5,201.0,male,2009
111,Adelie,Biscoe,38.1,16.5,198.0,female,2009
162,Gentoo,Biscoe,46.8,15.4,215.0,male,2007
201,Gentoo,Biscoe,44.9,13.3,213.0,female,2008
165,Gentoo,Biscoe,45.5,13.7,214.0,female,2007
131,Adelie,Torgersen,38.5,17.9,190.0,female,2009
237,Gentoo,Biscoe,44.9,13.8,212.0,female,2009
73,Adelie,Torgersen,39.6,17.2,196.0,female,2008
218,Gentoo,Biscoe,49.8,16.8,230.0,male,2008
24,Adelie,Biscoe,38.2,18.1,185.0,male,2007
204,Gentoo,Biscoe,48.5,14.1,220.0,male,2008
279,Chinstrap,Dream,51.3,19.2,193.0,male,2007
146,Adelie,Dream,39.0,18.7,185.0,male,2009
25,Adelie,Biscoe,38.8,17.2,180.0,male,2007
340,Chinstrap,Dream,55.8,19.8,207.0,male,2009
99,Adelie,Dream,33.1,16.1,178.0,female,2008
86,Adelie,Dream,41.3,20.3,194.0,male,2008
76,Adelie,Torgersen,42.8,18.5,195.0,male,2008
216,Gentoo,Biscoe,54.3,15.7,231.0,male,2008
103,Adelie,Biscoe,37.7,16.0,183.0,female,2009
104,Adelie,Biscoe,37.8,20.0,190.0,male,2009
206,Gentoo,Biscoe,50.1,15.0,225.0,male,2008
75,Adelie,Torgersen,35.5,17.5,190.0,female,2008
29,Adelie,Biscoe,37.9,18.6,172.0,female,2007
43,Adelie,Dream,36.0,18.5,186.0,female,2007
255,Gentoo,Biscoe,47.2,15.5,215.0,female,2009
74,Adelie,Torgersen,45.8,18.9,197.0,male,2008
278,Chinstrap,Dream,50.0,19.5,196.0,male,2007
151,Adelie,Dream,36.0,17.1,187.0,female,2009
132,Adelie,Torgersen,43.1,19.2,197.0,male,2009
230,Gentoo,Biscoe,51.1,16.3,220.0,male,2008
93,Adelie,Dream,34.0,17.1,185.0,female,2008
294,Chinstrap,Dream,58.0,17.8,181.0,female,2007
159,Gentoo,Biscoe,45.4,14.6,211.0,female,2007
295,Chinstrap,Dream,46.4,18.6,190.0,female,2007
155,Gentoo,Biscoe,48.7,14.1,210.0,female,2007
303,Chinstrap,Dream,50.5,18.4,200.0,female,2008
248,Gentoo,Biscoe,50.8,15.7,226.0,male,2009
231,Gentoo,Biscoe,45.2,13.8,215.0,female,2008
164,Gentoo,Biscoe,49.0,16.1,216.0,male,2007
228,Gentoo,Biscoe,48.6,16.0,230.0,male,2008
136,Adelie,Dream,41.1,17.5,190.0,male,2009
44,Adelie,Dream,44.1,19.7,196.0,male,2007
246,Gentoo,Biscoe,49.5,16.1,224.0,male,2009
211,Gentoo,Biscoe,43.2,14.5,208.0,female,2008
172,Gentoo,Biscoe,48.7,15.1,222.0,male,2007
119,Adelie,Torgersen,35.7,17.0,189.0,female,2009
210,Gentoo,Biscoe,45.5,15.0,220.0,male,2008
202,Gentoo,Biscoe,45.2,15.8,215.0,male,2008
124,Adelie,Torgersen,41.4,18.5,202.0,male,2009
330,Chinstrap,Dream,50.7,19.7,203.0,male,2009
333,Chinstrap,Dream,45.2,16.6,191.0,female,2009
314,Chinstrap,Dream,52.0,20.7,210.0,male,2008
171,Gentoo,Biscoe,46.2,14.5,209.0,female,2007
232,Gentoo,Biscoe,45.2,16.4,223.0,male,2008
235,Gentoo,Biscoe,47.4,14.6,212.0,female,2009
